Model name,Vendor,Launch,launch_year,price_usd_clean,perf_value,perf_per_dollar
,NVIDIA,2009-03-03,2009.0,150.0,0.47,0.003133333333333333
,NVIDIA,2008-06-16,2008.0,400.0,0.477,0.0011925
,NVIDIA,2009-04-09,2009.0,250.0,0.674,0.002696
,NVIDIA,2008-06-17,2008.0,650.0,0.622,0.0009569230769230769
,NVIDIA,2009-01-15,2009.0,400.0,0.70848,0.0017712
,NVIDIA,2009-01-08,2009.0,500.0,1.1923,0.0023845999999999997
,NVIDIA,2010-10-11,2010.0,79.0,0.26880000000000004,0.0034025316455696206
,NVIDIA,2011-02-01,2011.0,100.0,0.31104000000000004,0.0031104000000000006
,NVIDIA,2010-09-13,2010.0,129.0,0.60134,0.0046615503875968994
,NVIDIA,2010-11-15,2010.0,160.0,0.7487999999999999,0.004679999999999999
,NVIDIA,2010-07-12,2010.0,199.0,0.9072,0.004558793969849246
,NVIDIA,2011-09-24,2011.0,199.0,1.0455999999999999,0.005254271356783919
,NVIDIA,2010-05-31,2010.0,279.0,0.85536,0.0030658064516129032
,NVIDIA,2010-03-26,2010.0,349.0,1.08864,0.0031193123209169054
,NVIDIA,2010-03-26,2010.0,499.0,1.34496,0.0026953106212424848
GeForce GT 520,NVIDIA,2011-04-12,2011.0,59.0,0.1555,0.002635593220338983
GeForce GT 545,NVIDIA,2011-05-14,2011.0,149.0,0.41507,0.0027857046979865773
GeForce GTX 550 Ti,NVIDIA,2011-03-15,2011.0,149.0,0.6912,0.004638926174496644
GeForce GTX 560,NVIDIA,2011-05-17,2011.0,199.0,1.0886,0.0054703517587939695
GeForce GTX 560 Ti,NVIDIA,2011-01-25,2011.0,249.0,1.2634,0.005073895582329318
GeForce GTX 560 Ti (448 Cores),NVIDIA,2011-11-29,2011.0,289.0,1.3117,0.004538754325259516
GeForce GTX 570,NVIDIA,2010-12-07,2010.0,349.0,1.4054,0.004026934097421203
GeForce GTX 580,NVIDIA,2010-11-09,2010.0,499.0,1.5811,0.0031685370741482964
GeForce GTX 590,NVIDIA,2011-03-24,2011.0,699.0,2.4883,0.0035597997138769673
GeForce GT 640,NVIDIA,2012-06-05,2012.0,100.0,0.6912,0.006912000000000001
GeForce GTX 650,NVIDIA,2012-09-13,2012.0,110.0,0.8125399999999999,0.007386727272727272
GeForce GTX 650 Ti,NVIDIA,2012-10-09,2012.0,150.0,1.42541,0.009502733333333334
GeForce GTX 650 Ti (Boost),NVIDIA,2013-03-26,2013.0,170.0,1.50528,0.008854588235294118
GeForce GTX 660,NVIDIA,2012-09-13,2012.0,230.0,1.8816,0.00818086956521739
GeForce GTX 660 Ti,NVIDIA,2012-08-16,2012.0,300.0,2.45952,0.0081984
GeForce GTX 670,NVIDIA,2012-05-10,2012.0,400.0,2.45952,0.006148799999999999
GeForce GTX 680,NVIDIA,2012-03-22,2012.0,500.0,3.09043,0.00618086
GeForce GT 710,NVIDIA,2016-01-26,2016.0,35.0,0.366,0.010457142857142858
GeForce GT 720,NVIDIA,2014-03-27,2014.0,49.0,0.306,0.006244897959183674
GeForce GT 730,NVIDIA,2014-06-18,2014.0,69.0,0.6927000000000001,0.01003913043478261
GeForce GT 730,NVIDIA,2014-06-18,2014.0,69.0,0.6927000000000001,0.01003913043478261
GeForce GT 730,NVIDIA,2014-06-18,2014.0,69.0,0.26880000000000004,0.003895652173913044
GeForce GT 740,NVIDIA,2014-05-29,2014.0,89.0,0.7626000000000001,0.008568539325842697
GeForce GT 740,NVIDIA,2014-05-29,2014.0,89.0,0.7626000000000001,0.008568539325842697
GeForce GTX 750,NVIDIA,2014-02-18,2014.0,119.0,1.0445,0.008777310924369747
GeForce GTX 750 Ti,NVIDIA,2014-02-18,2014.0,149.0,1.3055999999999999,0.00876241610738255
GeForce GTX 760,NVIDIA,2013-06-25,2013.0,249.0,2.2579000000000002,0.009067871485943776
GeForce GTX 770,NVIDIA,2013-05-30,2013.0,399.0,3.2133000000000003,0.008053383458646618
GeForce GTX 780,NVIDIA,2013-05-23,2013.0,649.0,3.9766999999999997,0.006127426810477657
GeForce GTX 780 Ti,NVIDIA,2013-11-07,2013.0,699.0,5.0457,0.0072184549356223175
GeForce GTX TITAN,NVIDIA,2013-02-21,2013.0,999.0,4.4997,0.004504204204204204
GeForce GTX TITAN Black,NVIDIA,2014-02-18,2014.0,999.0,5.1206000000000005,0.005125725725725726
GeForce RTX 5050,NVIDIA,2025-07-01,2025.0,249.0,13.17,0.05289156626506024
GeForce RTX 5060,NVIDIA,2025-05-19,2025.0,299.0,19.18,0.06414715719063545
GeForce RTX 5060 Ti,NVIDIA,2025-04-16,2025.0,379.0,23.7,0.06253298153034301
GeForce RTX 5060 Ti,NVIDIA,2025-04-16,2025.0,429.0,23.7,0.05524475524475524
,NVIDIA,2016-04-08,2016.0,438.0,1.8125,0.004138127853881278
,NVIDIA,2015-06-29,2015.0,791.0,2.6624,0.0033658659924146648
,NVIDIA,2015-06-29,2015.0,2857.0,4.300800000000001,0.0015053552677633884
,NVIDIA,2015-03-21,2015.0,4200.0,6.07,0.0014452380952380954
,NVIDIA,2017-02-07,2017.0,120.0,0.641,0.0053416666666666664
,NVIDIA,2017-02-07,2017.0,178.0,1.195,0.006713483146067416
,NVIDIA,2017-02-07,2017.0,375.0,1.894,0.005050666666666667
,NVIDIA,2017-02-06,2017.0,585.0,3.01,0.005145299145299145
,NVIDIA,2017-02-06,2017.0,815.0,5.3,0.006503067484662576
,NVIDIA,2016-10-01,2016.0,2499.0,8.873,0.0035506202480992395
,NVIDIA,2018-11-13,2018.0,899.0,7.119,0.007918798665183536
,NVIDIA,2018-08-13,2018.0,2299.0,11.15,0.0048499347542409746
,NVIDIA,2018-08-13,2018.0,6299.0,16.31,0.0025892998888712494
,NVIDIA,2018-08-13,2018.0,9999.0,16.31,0.001631163116311631
RTX A400,NVIDIA,2024-04-16,2024.0,135.0,2.706,0.020044444444444445
RTX A1000,NVIDIA,2024-04-16,2024.0,365.0,6.737,0.01845753424657534
RTX A2000,NVIDIA,2021-08-10,2021.0,449.0,7.987,0.017788418708240536
RTX A2000,NVIDIA,2021-08-10,2021.0,449.0,7.987,0.017788418708240536
RTX A4000,NVIDIA,2021-04-12,2021.0,1000.0,19.17,0.019170000000000003
RTX A5000,NVIDIA,2021-04-12,2021.0,2250.0,27.77,0.012342222222222221
RTX A5500,NVIDIA,2022-03-22,2022.0,3600.0,34.1,0.009472222222222222
RTX A6000,NVIDIA,2020-10-05,2020.0,4649.0,38.71,0.008326521832652183
RTX A1000 Mobile,NVIDIA,2022-03-30,2022.0,365.0,4.669,0.012791780821917807
RTX 2000 Ada Generation,NVIDIA,2024-02-12,2024.0,649.0,12.0,0.01848998459167951
RTX 4000 SFF Ada Generation,NVIDIA,2023-03-21,2023.0,1250.0,19.23,0.015384
RTX 4000 Ada Generation,NVIDIA,2023-08-09,2023.0,1250.0,26.73,0.021384
RTX 4500 Ada Generation,NVIDIA,2023-08-09,2023.0,2250.0,39.63,0.017613333333333335
